product,category,avg_price,nb_concurrents,nb_occurrences,cat_total_products,cat_avg_price,cat_nb_concurrents,feat_cat_popularity,feat_price_distance,feat_occurrence_score,feat_concurrent_coverage,predicted_category,confidence_score,correct_prediction,feat_price_attractiveness,cat_score,product_score,niveau_recommandation
q-decorated deep salad bowl,handcrafted ceramics,37.44,1,1,262,31.49497709923664,1,0.5368852459016393,0.18876097903708183,1.0,1.0,handcrafted ceramics,0.955,True,0.8412119994130512,0.7973638311850832,0.8397210153586496,Priorite haute
q-handmade ceramic oval oven tray,handcrafted ceramics,37.44,1,1,262,31.49497709923664,1,0.5368852459016393,0.18876097903708183,1.0,1.0,handcrafted ceramics,0.955,True,0.8412119994130512,0.7973638311850832,0.8397210153586496,Priorite haute
q-handmade blue ceramic oval plate,handcrafted ceramics,21.84,1,1,262,31.49497709923664,1,0.5368852459016393,0.30655608233207987,1.0,1.0,handcrafted ceramics,0.985,True,0.7653708964525227,0.7973638311850832,0.8396369050625968,Priorite haute
q-handmade floral ceramic square dish,handcrafted ceramics,26.52,1,1,262,31.49497709923664,1,0.5368852459016393,0.15796096392133133,1.0,1.0,handcrafted ceramics,0.945,True,0.8635869698176952,0.7973638311850832,0.8394585123991141,Priorite haute
q-plat apéritif khomsa – flowers,handcrafted ceramics,42.12,1,1,262,31.49497709923664,1,0.5368852459016393,0.33735609744783035,1.0,1.0,handcrafted ceramics,0.99,True,0.747744001697356,0.7973638311850832,0.8391242155870801,Priorite haute
q-plat apéritif ovale – lara,handcrafted ceramics,37.44,1,1,262,31.49497709923664,1,0.5368852459016393,0.18876097903708183,1.0,1.0,handcrafted ceramics,0.95,True,0.8412119994130512,0.7973638311850832,0.8384710153586497,Priorite haute
q-plat apéritif ovale – flowers,handcrafted ceramics,37.44,1,1,262,31.49497709923664,1,0.5368852459016393,0.18876097903708183,1.0,1.0,handcrafted ceramics,0.95,True,0.8412119994130512,0.7973638311850832,0.8384710153586497,Priorite haute
q-floral ceramic camel oil bottle,handcrafted ceramics,21.84,1,1,262,31.49497709923664,1,0.5368852459016393,0.30655608233207987,1.0,1.0,handcrafted ceramics,0.98,True,0.7653708964525227,0.7973638311850832,0.8383869050625968,Priorite haute
q-ceramic deep plate eye safari,handcrafted ceramics,18.72,1,1,262,31.49497709923664,1,0.5368852459016393,0.40561949460591223,1.0,1.0,handcrafted ceramics,0.995,True,0.7114300874721191,0.7973638311850832,0.8367428241645565,Priorite haute
q-handmade tunisian ceramic olive oil bottle,handcrafted ceramics,18.72,1,1,262,31.49497709923664,1,0.5368852459016393,0.40561949460591223,1.0,1.0,handcrafted ceramics,0.995,True,0.7114300874721191,0.7973638311850832,0.8367428241645565,Priorite haute
q-plat apéritif khomsa – lara,handcrafted ceramics,42.12,1,1,262,31.49497709923664,1,0.5368852459016393,0.33735609744783035,1.0,1.0,handcrafted ceramics,0.98,True,0.747744001697356,0.7973638311850832,0.8366242155870801,Priorite haute
q-plat apéritif rond – flowers,handcrafted ceramics,42.12,1,1,262,31.49497709923664,1,0.5368852459016393,0.33735609744783035,1.0,1.0,handcrafted ceramics,0.98,True,0.747744001697356,0.7973638311850832,0.8366242155870801,Priorite haute
q-bowl – flowers,handcrafted ceramics,23.4,1,1,262,31.49497709923664,1,0.5368852459016393,0.2570243761951637,1.0,1.0,handcrafted ceramics,0.955,True,0.795529521095573,0.7973638311850832,0.8351527675269018,Priorite haute
q-sea star 8 piece ceramic serveware set,handcrafted ceramics,39.0,1,1,262,31.49497709923664,1,0.5368852459016393,0.23829268517399807,1.0,1.0,handcrafted ceramics,0.95,True,0.8075635202993107,0.7973638311850832,0.8351061674472755,Priorite haute
q-decorated oval plate : blue ceramics,handcrafted ceramics,34.32,1,1,262,31.49497709923664,1,0.5368852459016393,0.08969756676324957,1.0,1.0,handcrafted ceramics,0.905,True,0.9176858153132524,0.7973638311850832,0.8348683969486698,Priorite haute
q-matte black ceramic bowl with polka dots,handcrafted ceramics,21.84,1,1,262,31.49497709923664,1,0.5368852459016393,0.30655608233207987,1.0,1.0,handcrafted ceramics,0.965,True,0.7653708964525227,0.7973638311850832,0.8346369050625968,Priorite haute
q-handmade decorated plates,handcrafted ceramics,28.08,1,1,262,31.49497709923664,1,0.5368852459016393,0.1084292577844152,1.0,1.0,handcrafted ceramics,0.91,True,0.9021775570944878,0.7973638311850832,0.8345675711267934,Priorite haute
q-floral ceramic seashell bowl,handcrafted ceramics,18.72,1,1,262,31.49497709923664,1,0.5368852459016393,0.40561949460591223,1.0,1.0,handcrafted ceramics,0.985,True,0.7114300874721191,0.7973638311850832,0.8342428241645564,Priorite haute
q-plat apéritif khomsa – oriental black,handcrafted ceramics,42.12,1,1,262,31.49497709923664,1,0.5368852459016393,0.33735609744783035,1.0,1.0,handcrafted ceramics,0.97,True,0.747744001697356,0.7973638311850832,0.8341242155870802,Priorite haute
q-handmade rectangular plate : jilani ceramics,handcrafted ceramics,43.68,1,1,262,31.49497709923664,1,0.5368852459016393,0.3868878035847466,1.0,1.0,handcrafted ceramics,0.98,True,0.7210388593909749,0.7973638311850832,0.833953701356442,Priorite haute
q-artisan ceramic plate handcrafted from tunisia,handcrafted ceramics,39.0,1,1,262,31.49497709923664,1,0.5368852459016393,0.23829268517399807,1.0,1.0,handcrafted ceramics,0.945,True,0.8075635202993107,0.7973638311850832,0.8338561674472755,Priorite haute
q-andalusian design ceramic bottle,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-handmade ceramic oval plate,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-handmade decorated ceramic cup : khat design,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-ceramic olive oil bottle – tunisia craft,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-tunisian handmade ceramic olive oil dispenser,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-floral ceramic plate,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-tunisian ceramic oil dispenser,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-decorated ceramic olive oil pourer,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-handmade octagonal ceramic dish,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-handmade decorated ceramic tajine,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-handmade decorated ceramic plate dish,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-tunisian artisan ceramic olive oil bottle,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-ceramic octagonal bowl,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-modern & simple handmade ceramic tajine,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,1.0,True,0.6645918521621917,0.7973638311850832,0.8333090006335637,Priorite haute
q-bowl – zarbia,handcrafted ceramics,23.4,1,1,262,31.49497709923664,1,0.5368852459016393,0.2570243761951637,1.0,1.0,handcrafted ceramics,0.945,True,0.795529521095573,0.7973638311850832,0.8326527675269018,Priorite haute
q-bowl – lara,handcrafted ceramics,23.4,1,1,262,31.49497709923664,1,0.5368852459016393,0.2570243761951637,1.0,1.0,handcrafted ceramics,0.945,True,0.795529521095573,0.7973638311850832,0.8326527675269018,Priorite haute
q-handmade red ceramic dinner plate,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-handmade orange ceramic plate dish,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-handmade decorated rectangular ceramic dish,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-ceramic serving platters,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-tunisian ceramic oil pourer – authentic north african craft,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-handmade floral ceramic oval dish,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-handmade floral rectangular ceramic plate,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-handmade floral ceramic tea-pot,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-tunisian pottery olive oil bottle,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-handmade decorated ceramic bowl,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-artisan wall tiles – ceramic,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-handmade decorated ceramic dinner plate,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-handmade ceramic trivets,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-ceramic decorated bowl,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-handmade ceramic bowl,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.995,True,0.6645918521621917,0.7973638311850832,0.8320590006335638,Priorite haute
q-bowls nabeul ceramics handmade,handcrafted ceramics,16.38,1,1,262,31.49497709923664,1,0.5368852459016393,0.47991705381128646,1.0,1.0,handcrafted ceramics,0.99,True,0.6757135458535748,0.7973638311850832,0.8319211700027019,Priorite haute
q-white & black decorated ceramic plate,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-blue ceramic oval plate,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-floral ceramic champagne glass,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-handmade ceramics blue octogonal dish,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-handmade deep ceramic bowl,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-handmade ceramics bowl,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-handmade ceramic oil bottle from tunisia,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-handmade ceramic oval plate green,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-ceramic olive oil dispenser from tunisia,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-handmade ceramic cup & saucer,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-handmade orange ceramic serving platters,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-handcrafted ceramic wall tiles,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.99,True,0.6645918521621917,0.7973638311850832,0.8308090006335637,Priorite haute
q-ceramic dinner plate,handcrafted ceramics,16.224,1,1,262,31.49497709923664,1,0.5368852459016393,0.48487022442497807,1.0,1.0,handcrafted ceramics,0.985,True,0.6734595276750559,0.7973638311850832,0.83044576818485,Priorite haute
q-plat apéritif rond – makroudh rouge,handcrafted ceramics,42.12,1,1,262,31.49497709923664,1,0.5368852459016393,0.33735609744783035,1.0,1.0,handcrafted ceramics,0.955,True,0.747744001697356,0.7973638311850832,0.8303742155870801,Priorite haute
q-black & white rectangular ceramic dish,handcrafted ceramics,26.302,1,1,262,31.49497709923664,1,0.5368852459016393,0.1648827023430286,1.0,1.0,handcrafted ceramics,0.91,True,0.8584555320364996,0.7973638311850832,0.8301953686209945,Priorite haute
q-bowl - makroudh rouge,handcrafted ceramics,23.4,1,1,262,31.49497709923664,1,0.5368852459016393,0.2570243761951637,1.0,1.0,handcrafted ceramics,0.935,True,0.795529521095573,0.7973638311850832,0.8301527675269018,Priorite haute
q-natural handmade ceramic tajine,handcrafted ceramics,39.0,1,1,262,31.49497709923664,1,0.5368852459016393,0.23829268517399807,1.0,1.0,handcrafted ceramics,0.93,True,0.8075635202993107,0.7973638311850832,0.8301061674472756,Priorite haute
q-handmade floral large ceramic bowl,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.985,True,0.6645918521621917,0.7973638311850832,0.8295590006335637,Priorite haute
q-handmade decorated rectangular dish,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.985,True,0.6645918521621917,0.7973638311850832,0.8295590006335637,Priorite haute
q-floral ceramic napkin holder,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.985,True,0.6645918521621917,0.7973638311850832,0.8295590006335637,Priorite haute
q-hand painted ceramic bowl,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.985,True,0.6645918521621917,0.7973638311850832,0.8295590006335637,Priorite haute
q-floral ceramic butter dish,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.985,True,0.6645918521621917,0.7973638311850832,0.8295590006335637,Priorite haute
q-decorative ceramic oil bottle from tunisia,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.985,True,0.6645918521621917,0.7973638311850832,0.8295590006335637,Priorite haute
q-ceramic flared tankard,handcrafted ceramics,15.6,1,1,262,31.49497709923664,1,0.5368852459016393,0.5046829068797446,1.0,1.0,handcrafted ceramics,0.985,True,0.6645918521621917,0.7973638311850832,0.8295590006335637,Priorite haute
q-handmade large ceramic bowl,handcrafted ceramics,16.38,1,1,262,31.49497709923664,1,0.5368852459016393,0.47991705381128646,1.0,1.0,handcrafted ceramics,0.98,True,0.6757135458535748,0.7973638311850832,0.829421170002702,Priorite haute
q-handmade green ceramic oval plate,handcrafted ceramics,46.8,1,1,262,31.49497709923664,1,0.5368852459016393,0.48595121585857887,1.0,1.0,handcrafted ceramics,0.98,True,0.6729696031253641,0.7973638311850832,0.8291467757298809,Priorite haute
a-huile figue barbarie,cosmetiques et soins,25.0,1,1,193,24.965803108808288,1,0.39549180327868855,0.0013697492395066478,1.0,1.0,cosmetiques et soins,1.0,True,0.9986321244070466,0.748326254990232,0.8286268240944887,Priorite haute
a-huile figue de barbarie,cosmetiques et soins,25.0,1,1,193,24.965803108808288,1,0.39549180327868855,0.0013697492395066478,1.0,1.0,cosmetiques et soins,1.0,True,0.9986321244070466,0.748326254990232,0.8286268240944887,Priorite haute
a-huile capillaire,cosmetiques et soins,25.0,1,1,193,24.965803108808288,1,0.39549180327868855,0.0013697492395066478,1.0,1.0,cosmetiques et soins,1.0,True,0.9986321244070466,0.748326254990232,0.8286268240944887,Priorite haute
